Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
12/9/2020,Eibar,Celta,39,27,32,1,1,1,1,0.0,0.0,D
12/9/2020,Granada,Ath Bilbao,59,24,16,2,1,1,0,2.0,0.0,H
12/9/2020,Cadiz,Osasuna,52,25,21,2,1,1,0,0.0,2.0,A
13/09/2020,Alaves,Betis,33,27,39,1,1,0,1,0.0,1.0,A
13/09/2020,Valladolid,Sociedad,41,26,31,1,1,1,0,1.0,1.0,D
13/09/2020,Villarreal,Huesca,43,26,29,1,1,0,1,1.0,1.0,D
13/09/2020,Valencia,Levante,37,26,35,1,1,0,1,4.0,2.0,H
19/09/2020,Villarreal,Eibar,72,18,8,2,1,1,0,2.0,1.0,H
19/09/2020,Getafe,Osasuna,40,27,32,1,1,1,1,1.0,0.0,H
19/09/2020,Celta,Valencia,44,25,30,2,1,1,1,2.0,1.0,H
20/09/2020,Huesca,Cadiz,42,27,29,1,1,1,1,0.0,2.0,A
20/09/2020,Betis,Valladolid,62,23,14,2,1,1,0,2.0,0.0,H
20/09/2020,Granada,Alaves,53,26,19,2,1,1,0,2.0,1.0,H
20/09/2020,Sociedad,Real Madrid,48,22,29,2,1,1,1,0.0,0.0,D
26/09/2020,Alaves,Getafe,46,26,26,1,1,1,0,0.0,0.0,D
26/09/2020,Valencia,Huesca,53,26,20,2,1,1,0,1.0,1.0,D
26/09/2020,Elche,Sociedad,35,27,36,1,1,1,1,0.0,3.0,A
26/09/2020,Betis,Real Madrid,29,27,42,1,1,1,1,2.0,3.0,A
27/09/2020,Osasuna,Levante,57,23,19,2,1,1,0,1.0,3.0,A
27/09/2020,Eibar,Ath Bilbao,30,26,42,1,2,0,1,1.0,2.0,A
27/09/2020,Ath Madrid,Granada,63,21,14,2,1,1,0,6.0,1.0,H
27/09/2020,Cadiz,Sevilla,31,28,39,1,1,0,1,1.0,3.0,A
27/09/2020,Valladolid,Celta,38,27,34,1,1,1,1,1.0,1.0,D
27/09/2020,Barcelona,Villarreal,61,21,17,2,1,1,0,4.0,0.0,H
29/09/2020,Sociedad,Valencia,64,22,13,2,1,1,0,0.0,1.0,A
29/09/2020,Getafe,Betis,46,25,27,1,1,1,0,3.0,0.0,H
30/09/2020,Huesca,Ath Madrid,28,25,45,1,2,0,1,0.0,0.0,D
30/09/2020,Villarreal,Alaves,54,25,20,2,1,1,0,3.0,1.0,H
30/09/2020,Eibar,Elche,51,26,21,1,1,1,0,0.0,1.0,A
30/09/2020,Real Madrid,Valladolid,64,22,13,2,1,1,0,1.0,0.0,H
1/10/2020,Ath Bilbao,Cadiz,48,24,27,2,1,1,0,0.0,1.0,A
1/10/2020,Sevilla,Levante,48,24,27,2,1,1,0,1.0,0.0,H
1/10/2020,Celta,Barcelona,48,24,27,2,1,1,0,0.0,3.0,A
3/10/2020,Valladolid,Eibar,37,27,34,1,1,1,1,1.0,2.0,A
3/10/2020,Ath Madrid,Villarreal,35,25,38,1,1,1,1,0.0,0.0,D
3/10/2020,Elche,Huesca,48,24,27,2,1,1,0,0.0,0.0,D
3/10/2020,Sociedad,Getafe,54,24,21,2,1,1,0,3.0,0.0,H
3/10/2020,Valencia,Betis,55,26,17,2,1,1,0,0.0,2.0,A
4/10/2020,Osasuna,Celta,66,21,12,2,1,1,0,2.0,0.0,H
4/10/2020,Alaves,Ath Bilbao,43,24,31,1,1,1,1,1.0,0.0,H
4/10/2020,Levante,Real Madrid,31,25,43,1,2,1,1,0.0,2.0,A
4/10/2020,Cadiz,Granada,48,26,24,2,1,1,0,1.0,1.0,D
4/10/2020,Barcelona,Sevilla,56,20,23,2,1,1,1,1.0,1.0,D
17/10/2020,Granada,Sevilla,44,27,28,1,1,1,1,1.0,0.0,H
17/10/2020,Celta,Ath Madrid,48,24,27,2,1,1,0,0.0,2.0,A
17/10/2020,Real Madrid,Cadiz,69,20,9,2,1,1,0,0.0,1.0,A
17/10/2020,Getafe,Barcelona,24,27,47,1,2,0,1,1.0,0.0,H
18/10/2020,Eibar,Osasuna,31,28,39,1,1,0,1,0.0,0.0,D
18/10/2020,Ath Bilbao,Levante,49,26,24,2,1,1,0,2.0,0.0,H
18/10/2020,Villarreal,Valencia,60,19,19,2,1,1,1,2.0,1.0,H
18/10/2020,Alaves,Elche,54,26,19,2,1,1,0,0.0,2.0,A
18/10/2020,Huesca,Valladolid,45,29,24,1,1,1,0,2.0,2.0,D
18/10/2020,Betis,Sociedad,51,25,23,2,1,1,1,0.0,3.0,A
23/10/2020,Elche,Valencia,49,25,25,2,1,1,0,2.0,1.0,H
24/10/2020,Barcelona,Real Madrid,58,18,22,2,1,1,0,1.0,3.0,A
24/10/2020,Osasuna,Ath Bilbao,56,23,19,2,1,1,0,1.0,0.0,H
24/10/2020,Sevilla,Eibar,69,20,9,2,1,1,0,0.0,1.0,A
24/10/2020,Ath Madrid,Betis,57,22,19,2,1,1,0,2.0,0.0,H
25/10/2020,Valladolid,Alaves,49,26,23,2,1,1,0,0.0,2.0,A
25/10/2020,Cadiz,Villarreal,39,27,32,1,1,1,1,0.0,0.0,D
25/10/2020,Getafe,Granada,47,27,25,1,1,1,0,0.0,1.0,A
25/10/2020,Sociedad,Huesca,58,25,15,2,1,1,0,4.0,1.0,H
26/10/2020,Levante,Celta,43,26,30,1,1,1,1,1.0,1.0,D
30/10/2020,Eibar,Cadiz,48,27,24,1,1,1,0,0.0,2.0,A
31/10/2020,Real Madrid,Huesca,58,24,17,2,1,1,0,4.0,1.0,H
31/10/2020,Ath Bilbao,Sevilla,39,25,35,1,1,1,1,2.0,1.0,H
31/10/2020,Osasuna,Ath Madrid,31,28,40,1,1,1,1,1.0,3.0,A
31/10/2020,Alaves,Barcelona,30,26,42,1,1,0,1,1.0,1.0,D
1/11/2020,Betis,Elche,48,24,27,2,1,1,0,3.0,1.0,H
1/11/2020,Celta,Sociedad,48,24,27,2,1,1,0,1.0,4.0,A
1/11/2020,Granada,Levante,48,24,27,2,1,1,0,1.0,1.0,D
1/11/2020,Valencia,Getafe,48,24,27,2,1,1,0,2.0,2.0,D
2/11/2020,Villarreal,Valladolid,61,21,17,2,1,1,0,2.0,0.0,H
6/11/2020,Elche,Celta,50,26,22,2,1,1,0,1.0,1.0,D
7/11/2020,Huesca,Eibar,51,27,21,2,1,1,0,1.0,1.0,D
7/11/2020,Barcelona,Betis,68,18,12,2,1,1,0,5.0,2.0,H
7/11/2020,Sevilla,Osasuna,49,25,24,2,1,1,0,1.0,0.0,H
7/11/2020,Ath Madrid,Cadiz,56,21,21,2,1,1,0,4.0,0.0,H
8/11/2020,Getafe,Villarreal,26,29,44,1,2,0,1,1.0,3.0,A
8/11/2020,Sociedad,Granada,55,23,21,2,1,1,0,2.0,0.0,H
8/11/2020,Levante,Alaves,49,26,23,2,1,1,0,1.0,1.0,D
8/11/2020,Valladolid,Ath Bilbao,35,29,35,1,1,1,1,2.0,1.0,H
8/11/2020,Valencia,Real Madrid,31,25,42,1,1,0,1,4.0,1.0,H
20/11/2020,Osasuna,Huesca,51,27,21,2,1,1,0,1.0,1.0,D
21/11/2020,Levante,Elche,48,27,24,2,1,1,0,1.0,1.0,D
21/11/2020,Villarreal,Real Madrid,41,24,34,1,1,1,1,1.0,1.0,D
21/11/2020,Sevilla,Celta,55,25,19,2,1,1,0,4.0,2.0,H
21/11/2020,Ath Madrid,Barcelona,52,21,26,2,1,1,0,1.0,0.0,H
22/11/2020,Eibar,Getafe,37,29,33,1,1,1,1,0.0,0.0,D
22/11/2020,Cadiz,Sociedad,37,28,33,1,1,1,1,0.0,1.0,A
22/11/2020,Granada,Valladolid,63,21,14,2,1,1,0,1.0,3.0,A
22/11/2020,Alaves,Valencia,34,29,36,1,1,1,1,2.0,2.0,D
23/11/2020,Ath Bilbao,Betis,32,27,39,1,1,1,1,4.0,0.0,H
27/11/2020,Valladolid,Levante,41,27,31,1,1,1,0,1.0,1.0,D
28/11/2020,Elche,Cadiz,40,30,29,1,1,1,0,1.0,1.0,D
28/11/2020,Valencia,Ath Madrid,21,26,51,1,2,0,1,0.0,1.0,A
28/11/2020,Huesca,Sevilla,31,28,39,1,1,0,1,0.0,1.0,A
28/11/2020,Real Madrid,Alaves,68,19,11,2,1,1,0,1.0,2.0,A
29/11/2020,Barcelona,Osasuna,57,22,20,2,1,1,0,4.0,0.0,H
29/11/2020,Getafe,Ath Bilbao,47,23,29,2,1,1,0,1.0,1.0,D
29/11/2020,Celta,Granada,44,27,28,1,1,1,1,3.0,1.0,H
29/11/2020,Sociedad,Villarreal,62,21,15,2,1,1,0,1.0,1.0,D
30/11/2020,Betis,Eibar,62,24,13,2,1,1,0,0.0,2.0,A
4/12/2020,Ath Bilbao,Celta,60,24,15,2,1,1,0,0.0,2.0,A
5/12/2020,Levante,Getafe,51,25,23,2,1,1,1,3.0,0.0,H
5/12/2020,Sevilla,Real Madrid,40,22,37,2,2,1,1,0.0,1.0,A
5/12/2020,Ath Madrid,Valladolid,59,22,17,2,1,1,0,2.0,0.0,H
5/12/2020,Cadiz,Barcelona,32,26,41,1,2,1,1,2.0,1.0,H
6/12/2020,Granada,Huesca,51,23,25,2,1,1,0,3.0,3.0,D
6/12/2020,Osasuna,Betis,52,25,21,2,1,1,0,0.0,2.0,A
6/12/2020,Villarreal,Elche,48,24,26,2,1,1,0,0.0,0.0,D
6/12/2020,Alaves,Sociedad,37,26,35,1,1,1,1,0.0,0.0,D
7/12/2020,Eibar,Valencia,34,28,37,1,1,1,1,0.0,0.0,D
11/12/2020,Valladolid,Osasuna,49,26,23,1,1,1,0,3.0,2.0,H
12/12/2020,Valencia,Ath Bilbao,58,23,17,2,1,1,0,2.0,2.0,D
12/12/2020,Getafe,Sevilla,55,23,20,2,1,1,0,0.0,1.0,A
12/12/2020,Huesca,Alaves,42,28,28,1,1,1,0,1.0,0.0,H
12/12/2020,Real Madrid,Ath Madrid,45,24,30,1,1,1,1,2.0,0.0,H
13/12/2020,Sociedad,Eibar,49,25,24,2,1,1,0,1.0,1.0,D
13/12/2020,Betis,Villarreal,62,22,14,2,1,1,0,1.0,1.0,D
13/12/2020,Elche,Granada,28,29,42,1,1,0,1,0.0,1.0,A
13/12/2020,Barcelona,Levante,52,21,25,2,1,1,1,1.0,0.0,H
14/12/2020,Celta,Cadiz,46,25,28,2,1,1,0,4.0,0.0,H
15/12/2020,Real Madrid,Ath Bilbao,67,19,13,2,1,1,0,3.0,1.0,H
16/12/2020,Barcelona,Sociedad,61,19,19,2,1,1,1,2.0,1.0,H
18/12/2020,Ath Bilbao,Huesca,54,24,20,2,1,1,0,2.0,0.0,H
19/12/2020,Ath Madrid,Elche,65,21,13,2,1,1,0,3.0,1.0,H
19/12/2020,Barcelona,Valencia,52,24,23,2,1,1,0,2.0,2.0,D
19/12/2020,Levante,Sociedad,32,28,39,1,1,1,1,2.0,1.0,H
19/12/2020,Osasuna,Villarreal,27,25,46,1,2,1,1,1.0,3.0,A
19/12/2020,Sevilla,Valladolid,56,26,16,2,1,1,0,1.0,1.0,D
20/12/2020,Celta,Alaves,44,28,26,1,1,1,0,2.0,0.0,H
20/12/2020,Granada,Betis,41,25,33,1,1,1,1,2.0,0.0,H
20/12/2020,Cadiz,Getafe,57,24,18,2,1,1,0,0.0,2.0,A
20/12/2020,Eibar,Real Madrid,26,28,44,1,1,0,1,1.0,3.0,A
22/12/2020,Elche,Osasuna,47,25,27,1,1,1,0,2.0,2.0,D
22/12/2020,Valencia,Sevilla,37,25,36,1,1,1,1,0.0,1.0,A
22/12/2020,Huesca,Levante,40,27,31,1,1,1,0,1.0,1.0,D
22/12/2020,Sociedad,Ath Madrid,44,24,30,1,1,1,1,0.0,2.0,A
22/12/2020,Valladolid,Barcelona,32,24,43,1,2,1,1,0.0,3.0,A
22/12/2020,Villarreal,Ath Bilbao,57,24,17,2,1,1,0,1.0,1.0,D
23/12/2020,Getafe,Celta,46,27,25,2,1,1,0,1.0,1.0,D
23/12/2020,Real Madrid,Granada,63,19,16,2,1,1,0,2.0,0.0,H
23/12/2020,Alaves,Eibar,50,27,21,2,1,1,0,2.0,1.0,H
23/12/2020,Betis,Cadiz,52,27,20,2,1,1,0,1.0,0.0,H
29/12/2020,Sevilla,Villarreal,55,25,18,2,1,1,0,2.0,0.0,H
29/12/2020,Barcelona,Eibar,71,18,10,2,1,1,0,1.0,1.0,D
29/12/2020,Cadiz,Valladolid,43,28,27,1,1,1,0,0.0,0.0,D
29/12/2020,Levante,Betis,48,25,26,2,1,1,0,4.0,3.0,H
30/12/2020,Granada,Valencia,51,28,20,2,1,1,0,2.0,1.0,H
30/12/2020,Ath Madrid,Getafe,51,25,23,2,1,1,0,1.0,0.0,H
30/12/2020,Celta,Huesca,59,22,17,2,1,1,0,2.0,1.0,H
30/12/2020,Elche,Real Madrid,29,27,42,1,1,1,1,1.0,1.0,D
31/12/2020,Ath Bilbao,Sociedad,47,25,27,1,1,1,0,0.0,1.0,A
31/12/2020,Osasuna,Alaves,43,29,26,1,1,1,0,1.0,1.0,D
2/1/2021,Villarreal,Levante,70,18,10,2,1,1,0,2.0,1.0,H
2/1/2021,Betis,Sevilla,46,25,27,2,1,1,1,1.0,1.0,D
2/1/2021,Getafe,Valladolid,47,27,24,1,1,1,0,0.0,1.0,A
2/1/2021,Real Madrid,Celta,48,24,27,2,1,1,1,2.0,0.0,H
3/1/2021,Ath Bilbao,Elche,59,24,15,2,1,1,0,1.0,0.0,H
3/1/2021,Alaves,Ath Madrid,28,25,46,1,2,0,1,1.0,2.0,A
3/1/2021,Eibar,Granada,36,29,34,1,1,0,1,2.0,0.0,H
3/1/2021,Sociedad,Osasuna,59,23,16,2,1,1,0,1.0,1.0,D
3/1/2021,Huesca,Barcelona,30,24,44,1,2,0,1,0.0,1.0,A
4/1/2021,Valencia,Cadiz,44,28,27,1,1,1,0,1.0,1.0,D
6/1/2021,Ath Bilbao,Barcelona,37,27,34,1,1,1,1,2.0,3.0,A
8/1/2021,Celta,Villarreal,48,24,27,2,1,1,0,0.0,4.0,A
9/1/2021,Sevilla,Sociedad,48,24,27,2,1,1,0,3.0,2.0,H
9/1/2021,Granada,Barcelona,48,24,27,2,1,1,0,0.0,4.0,A
9/1/2021,Osasuna,Real Madrid,48,24,27,2,1,1,0,0.0,0.0,D
10/1/2021,Levante,Eibar,48,24,27,2,1,1,0,2.0,1.0,H
10/1/2021,Cadiz,Alaves,48,24,27,2,1,1,0,3.0,1.0,H
10/1/2021,Valladolid,Valencia,48,24,27,2,1,1,0,0.0,1.0,A
11/1/2021,Elche,Getafe,48,24,27,2,1,1,0,1.0,3.0,A
11/1/2021,Huesca,Betis,48,24,27,2,1,1,0,0.0,2.0,A
12/1/2021,Granada,Osasuna,48,24,27,2,1,1,0,2.0,0.0,H
12/1/2021,Ath Madrid,Sevilla,48,24,27,2,1,1,0,2.0,0.0,H
19/01/2021,Cadiz,Levante,43,31,25,1,1,1,0,2.0,2.0,D
19/01/2021,Valladolid,Elche,44,28,26,1,1,1,0,2.0,2.0,D
19/01/2021,Alaves,Sevilla,41,26,31,1,1,1,1,1.0,2.0,A
20/01/2021,Getafe,Huesca,43,28,27,1,1,1,0,1.0,0.0,H
20/01/2021,Betis,Celta,52,26,21,2,1,1,0,2.0,1.0,H
20/01/2021,Villarreal,Granada,59,22,17,2,1,1,0,2.0,2.0,D
21/01/2021,Valencia,Osasuna,55,23,21,2,1,1,0,1.0,1.0,D
21/01/2021,Eibar,Ath Madrid,25,26,47,1,2,0,1,1.0,2.0,A
22/01/2021,Levante,Valladolid,53,26,20,2,1,1,0,2.0,2.0,D
23/01/2021,Huesca,Villarreal,40,26,33,1,1,1,0,0.0,0.0,D
