Fecha,EquipoLocal,EquipoVisitante,Prob_Victoria_Local,Prob_Empate,Prob_Victoria_Visitante,golesLocalFinal,golesVisitanteFinal,golesLocalDescanso,golesVisitanteDescanso,golesLocalReal,golesVisitanteReal,Ganador
23/01/2021,Sevilla,Cadiz,61,22,16,2,1,1,0,3.0,0.0,H
23/01/2021,Sociedad,Betis,37,28,33,1,1,1,1,2.0,2.0,D
23/01/2021,Alaves,Real Madrid,26,27,46,1,2,0,1,1.0,4.0,A
24/01/2021,Osasuna,Granada,46,25,28,2,1,1,0,3.0,1.0,H
24/01/2021,Elche,Barcelona,32,23,43,1,2,1,1,0.0,2.0,A
24/01/2021,Celta,Eibar,58,24,17,2,1,1,0,1.0,1.0,D
24/01/2021,Ath Madrid,Valencia,61,23,15,2,1,1,0,3.0,1.0,H
25/01/2021,Ath Bilbao,Getafe,46,25,27,1,1,1,0,5.0,1.0,H
29/01/2021,Valladolid,Huesca,51,27,21,2,1,1,0,1.0,3.0,A
30/01/2021,Eibar,Sevilla,37,26,36,1,1,0,1,0.0,2.0,A
30/01/2021,Real Madrid,Levante,54,23,21,2,1,1,0,1.0,2.0,A
30/01/2021,Valencia,Elche,47,29,22,1,1,1,0,1.0,0.0,H
30/01/2021,Villarreal,Sociedad,41,25,32,1,1,1,0,1.0,1.0,D
31/01/2021,Getafe,Alaves,51,26,21,2,1,1,0,0.0,0.0,D
31/01/2021,Cadiz,Ath Madrid,37,26,35,1,1,0,1,2.0,4.0,A
31/01/2021,Granada,Celta,38,28,33,1,1,1,1,0.0,0.0,D
31/01/2021,Barcelona,Ath Bilbao,60,20,18,2,1,1,0,2.0,1.0,H
1/2/2021,Betis,Osasuna,51,22,26,2,1,1,0,1.0,0.0,H
5/2/2021,Alaves,Valladolid,53,27,19,2,1,1,0,1.0,0.0,H
6/2/2021,Levante,Granada,50,24,24,2,1,1,0,2.0,2.0,D
6/2/2021,Huesca,Real Madrid,29,26,44,1,2,0,1,1.0,2.0,A
6/2/2021,Elche,Villarreal,35,26,38,1,1,1,1,2.0,2.0,D
6/2/2021,Sevilla,Getafe,60,24,14,2,1,1,0,3.0,0.0,H
7/2/2021,Sociedad,Cadiz,51,25,22,2,1,1,0,4.0,1.0,H
7/2/2021,Ath Bilbao,Valencia,47,27,25,2,1,1,0,1.0,1.0,D
7/2/2021,Osasuna,Eibar,50,27,21,2,1,1,0,2.0,1.0,H
7/2/2021,Betis,Barcelona,38,25,36,1,1,1,1,2.0,3.0,A
8/2/2021,Ath Madrid,Celta,48,24,27,2,1,1,0,2.0,2.0,D
9/2/2021,Real Madrid,Getafe,48,24,27,2,1,1,0,2.0,0.0,H
12/2/2021,Celta,Elche,48,24,27,2,1,1,0,3.0,1.0,H
13/02/2021,Granada,Ath Madrid,49,24,26,2,1,1,1,1.0,2.0,A
13/02/2021,Sevilla,Huesca,55,24,19,2,1,1,0,1.0,0.0,H
13/02/2021,Eibar,Valladolid,51,25,22,2,1,1,0,1.0,1.0,D
13/02/2021,Barcelona,Alaves,57,23,18,2,1,1,0,5.0,1.0,H
14/02/2021,Getafe,Sociedad,43,27,29,1,1,1,0,0.0,1.0,A
14/02/2021,Real Madrid,Valencia,62,20,16,2,1,1,0,2.0,0.0,H
14/02/2021,Levante,Osasuna,47,25,26,2,1,1,0,0.0,1.0,A
14/02/2021,Villarreal,Betis,37,25,37,1,1,0,1,1.0,2.0,A
15/02/2021,Cadiz,Ath Bilbao,52,27,19,2,1,1,0,0.0,4.0,A
17/02/2021,Levante,Ath Madrid,36,27,35,1,1,1,1,1.0,1.0,D
19/02/2021,Betis,Getafe,54,26,19,2,1,1,0,1.0,0.0,H
20/02/2021,Elche,Eibar,49,29,21,2,1,1,0,1.0,0.0,H
20/02/2021,Ath Madrid,Levante,68,19,11,2,1,1,0,0.0,2.0,A
20/02/2021,Valencia,Celta,50,24,24,2,1,1,1,2.0,0.0,H
20/02/2021,Valladolid,Real Madrid,38,26,35,1,1,0,1,0.0,1.0,A
21/02/2021,Barcelona,Cadiz,50,24,25,2,1,1,1,1.0,1.0,D
21/02/2021,Sociedad,Alaves,55,25,19,2,1,1,0,4.0,0.0,H
21/02/2021,Huesca,Granada,35,27,36,1,1,1,1,3.0,2.0,H
21/02/2021,Ath Bilbao,Villarreal,33,25,40,1,1,0,1,1.0,1.0,D
22/02/2021,Osasuna,Sevilla,42,25,32,1,1,1,1,0.0,2.0,A
24/02/2021,Barcelona,Elche,62,21,15,2,1,1,0,3.0,0.0,H
26/02/2021,Levante,Ath Bilbao,36,25,38,1,1,1,1,1.0,1.0,D
27/02/2021,Eibar,Huesca,46,28,25,1,1,1,0,1.0,1.0,D
27/02/2021,Sevilla,Barcelona,44,24,30,2,1,1,1,0.0,2.0,A
27/02/2021,Alaves,Osasuna,42,26,31,1,1,1,1,0.0,1.0,A
27/02/2021,Getafe,Valencia,48,27,23,2,1,1,0,3.0,0.0,H
28/02/2021,Celta,Valladolid,56,25,17,2,1,1,0,1.0,1.0,D
28/02/2021,Cadiz,Betis,37,29,32,1,1,1,1,0.0,1.0,A
28/02/2021,Granada,Elche,49,30,20,2,1,1,0,2.0,1.0,H
28/02/2021,Villarreal,Ath Madrid,24,27,48,1,2,1,1,0.0,2.0,A
1/3/2021,Real Madrid,Sociedad,46,25,28,2,1,1,0,1.0,1.0,D
5/3/2021,Valencia,Villarreal,35,27,37,1,1,1,1,2.0,1.0,H
6/3/2021,Valladolid,Getafe,43,29,26,1,1,1,0,2.0,1.0,H
6/3/2021,Elche,Sevilla,38,25,36,1,1,1,1,2.0,1.0,H
6/3/2021,Cadiz,Eibar,59,24,15,2,1,1,0,1.0,0.0,H
6/3/2021,Osasuna,Barcelona,37,27,34,1,1,1,1,0.0,2.0,A
7/3/2021,Huesca,Celta,40,25,33,1,1,0,1,3.0,4.0,A
7/3/2021,Ath Madrid,Real Madrid,56,19,23,2,1,1,1,1.0,1.0,D
7/3/2021,Sociedad,Levante,58,22,18,2,1,1,0,1.0,0.0,H
7/3/2021,Ath Bilbao,Granada,36,28,35,1,1,1,1,2.0,1.0,H
8/3/2021,Betis,Alaves,48,24,27,2,1,1,0,3.0,2.0,H
10/3/2021,Ath Madrid,Ath Bilbao,48,24,27,2,1,1,0,2.0,1.0,H
12/3/2021,Levante,Valencia,48,24,27,2,1,1,0,1.0,0.0,H
13/03/2021,Alaves,Cadiz,34,28,37,1,1,1,1,1.0,1.0,D
13/03/2021,Real Madrid,Elche,63,23,12,2,1,1,0,2.0,1.0,H
13/03/2021,Osasuna,Valladolid,58,23,18,2,1,1,0,0.0,0.0,D
13/03/2021,Getafe,Ath Madrid,35,26,37,1,1,0,1,0.0,0.0,D
14/03/2021,Celta,Ath Bilbao,57,24,17,2,1,1,0,0.0,0.0,D
14/03/2021,Granada,Sociedad,51,25,23,2,1,1,0,1.0,0.0,H
14/03/2021,Eibar,Villarreal,45,27,26,1,1,1,0,1.0,3.0,A
14/03/2021,Sevilla,Betis,46,25,27,1,1,1,1,1.0,0.0,H
15/03/2021,Barcelona,Huesca,64,19,15,2,1,1,0,4.0,1.0,H
17/03/2021,Sevilla,Elche,58,25,15,2,1,1,0,2.0,0.0,H
19/03/2021,Betis,Levante,52,27,19,2,1,1,0,2.0,0.0,H
20/03/2021,Ath Bilbao,Eibar,62,23,13,2,1,1,0,1.0,1.0,D
20/03/2021,Celta,Real Madrid,39,27,33,1,1,1,1,1.0,3.0,A
20/03/2021,Huesca,Osasuna,45,27,27,1,1,1,0,0.0,0.0,D
20/03/2021,Valladolid,Sevilla,35,27,36,1,1,0,1,1.0,1.0,D
21/03/2021,Getafe,Elche,51,27,21,2,1,1,0,1.0,1.0,D
21/03/2021,Valencia,Granada,43,24,32,2,1,1,1,2.0,1.0,H
21/03/2021,Villarreal,Cadiz,54,23,21,2,1,1,0,2.0,1.0,H
21/03/2021,Ath Madrid,Alaves,70,20,8,2,1,1,0,1.0,0.0,H
21/03/2021,Sociedad,Barcelona,52,22,25,2,1,1,1,1.0,6.0,A
2/4/2021,Levante,Huesca,53,27,19,2,1,1,0,0.0,2.0,A
3/4/2021,Granada,Villarreal,49,28,21,2,1,1,0,0.0,3.0,A
3/4/2021,Real Madrid,Eibar,61,22,15,2,1,1,0,2.0,0.0,H
3/4/2021,Osasuna,Getafe,37,28,33,1,1,1,1,0.0,0.0,D
4/4/2021,Alaves,Celta,40,27,32,1,1,1,1,1.0,3.0,A
4/4/2021,Elche,Betis,34,28,36,1,1,1,1,1.0,1.0,D
4/4/2021,Cadiz,Valencia,52,25,22,2,1,1,0,2.0,1.0,H
4/4/2021,Sevilla,Ath Madrid,43,24,31,2,1,1,1,1.0,0.0,H
5/4/2021,Barcelona,Valladolid,63,24,12,2,1,1,0,1.0,0.0,H
7/4/2021,Sociedad,Ath Bilbao,55,24,19,2,1,1,0,1.0,1.0,D
9/4/2021,Huesca,Elche,48,24,27,2,1,1,0,3.0,1.0,H
10/4/2021,Getafe,Cadiz,48,24,27,2,1,1,0,0.0,1.0,A
10/4/2021,Ath Bilbao,Alaves,48,24,27,2,1,1,0,0.0,0.0,D
10/4/2021,Eibar,Levante,48,24,27,2,1,1,0,0.0,1.0,A
10/4/2021,Real Madrid,Barcelona,48,24,27,2,1,1,0,2.0,1.0,H
11/4/2021,Villarreal,Osasuna,48,24,27,2,1,1,0,1.0,2.0,A
11/4/2021,Valencia,Sociedad,48,24,27,2,1,1,0,2.0,2.0,D
11/4/2021,Valladolid,Granada,48,24,27,2,1,1,0,1.0,2.0,A
11/4/2021,Betis,Ath Madrid,48,24,27,2,1,1,0,1.0,1.0,D
12/4/2021,Celta,Sevilla,48,24,27,2,1,1,0,3.0,4.0,A
18/04/2021,Osasuna,Elche,53,27,19,2,1,1,0,2.0,0.0,H
18/04/2021,Sociedad,Sevilla,49,24,25,2,1,1,0,1.0,2.0,A
18/04/2021,Alaves,Huesca,49,26,23,2,1,1,0,1.0,0.0,H
18/04/2021,Ath Madrid,Eibar,60,24,15,2,1,1,0,5.0,0.0,H
18/04/2021,Betis,Valencia,49,26,24,2,1,1,0,2.0,2.0,D
18/04/2021,Cadiz,Celta,36,29,34,1,1,1,1,0.0,0.0,D
18/04/2021,Getafe,Real Madrid,28,26,44,1,1,0,1,0.0,0.0,D
18/04/2021,Levante,Villarreal,36,27,35,1,1,1,1,1.0,5.0,A
21/04/2021,Levante,Sevilla,37,27,35,1,1,1,1,0.0,1.0,A
21/04/2021,Osasuna,Valencia,36,28,34,1,1,1,1,3.0,1.0,H
21/04/2021,Betis,Ath Bilbao,55,24,19,2,1,1,0,0.0,0.0,D
21/04/2021,Alaves,Villarreal,25,29,45,1,1,0,1,2.0,1.0,H
21/04/2021,Elche,Valladolid,55,25,19,2,1,1,0,1.0,1.0,D
21/04/2021,Cadiz,Real Madrid,36,26,37,1,1,1,1,0.0,3.0,A
22/04/2021,Ath Madrid,Huesca,58,24,16,2,1,1,0,2.0,0.0,H
22/04/2021,Granada,Eibar,63,22,13,2,1,1,0,4.0,1.0,H
22/04/2021,Sociedad,Celta,52,24,22,2,1,1,0,2.0,1.0,H
22/04/2021,Barcelona,Getafe,63,20,16,2,1,1,0,5.0,2.0,H
24/04/2021,Elche,Levante,45,26,27,1,1,1,0,1.0,0.0,H
24/04/2021,Valladolid,Cadiz,51,26,22,2,1,1,0,1.0,1.0,D
24/04/2021,Valencia,Alaves,45,28,25,1,1,1,1,1.0,1.0,D
24/04/2021,Real Madrid,Betis,62,20,16,2,1,1,0,0.0,0.0,D
25/04/2021,Huesca,Getafe,44,28,27,1,1,1,0,0.0,2.0,A
25/04/2021,Villarreal,Barcelona,37,26,36,1,1,1,1,1.0,2.0,A
25/04/2021,Celta,Osasuna,44,25,29,2,1,1,1,2.0,1.0,H
25/04/2021,Sevilla,Granada,54,24,21,2,1,1,0,2.0,1.0,H
25/04/2021,Ath Bilbao,Ath Madrid,40,22,37,1,1,1,1,2.0,1.0,H
26/04/2021,Eibar,Sociedad,32,27,39,1,1,0,1,0.0,1.0,A
28/04/2021,Ath Bilbao,Valladolid,62,22,15,2,1,1,0,2.0,2.0,D
29/04/2021,Barcelona,Granada,62,21,15,2,1,1,0,1.0,2.0,A
30/04/2021,Celta,Levante,44,25,30,2,1,1,1,2.0,0.0,H
1/5/2021,Eibar,Alaves,48,24,27,2,1,1,0,3.0,0.0,H
1/5/2021,Elche,Ath Madrid,40,25,34,1,1,1,0,0.0,1.0,A
1/5/2021,Huesca,Sociedad,42,25,31,2,1,1,0,1.0,0.0,H
1/5/2021,Real Madrid,Osasuna,52,25,22,2,1,1,0,2.0,0.0,H
2/5/2021,Valladolid,Betis,37,26,36,1,1,0,1,1.0,1.0,D
2/5/2021,Villarreal,Getafe,66,21,12,2,1,1,0,1.0,0.0,H
2/5/2021,Granada,Cadiz,52,27,20,2,1,1,0,0.0,1.0,A
2/5/2021,Valencia,Barcelona,47,23,29,2,1,1,1,2.0,3.0,A
3/5/2021,Sevilla,Ath Bilbao,54,24,20,2,1,1,0,0.0,1.0,A
7/5/2021,Sociedad,Elche,57,24,18,2,1,1,0,2.0,0.0,H
8/5/2021,Alaves,Levante,48,24,27,2,1,1,0,2.0,2.0,D
8/5/2021,Barcelona,Ath Madrid,48,24,27,2,1,1,0,0.0,0.0,D
8/5/2021,Cadiz,Huesca,48,24,27,2,1,1,0,2.0,1.0,H
8/5/2021,Ath Bilbao,Osasuna,48,24,27,2,1,1,0,2.0,2.0,D
9/5/2021,Getafe,Eibar,48,24,27,2,1,1,0,0.0,1.0,A
9/5/2021,Valencia,Valladolid,48,24,27,2,1,1,0,3.0,0.0,H
9/5/2021,Villarreal,Celta,48,24,27,2,1,1,0,2.0,4.0,A
9/5/2021,Real Madrid,Sevilla,48,24,27,2,1,1,0,2.0,2.0,D
10/5/2021,Betis,Granada,48,24,27,2,1,1,0,2.0,1.0,H
11/5/2021,Osasuna,Cadiz,48,24,27,2,1,1,0,3.0,2.0,H
11/5/2021,Elche,Alaves,48,24,27,2,1,1,0,0.0,2.0,A
11/5/2021,Levante,Barcelona,48,24,27,2,1,1,0,3.0,3.0,D
12/5/2021,Sevilla,Valencia,48,24,27,2,1,1,0,1.0,0.0,H
12/5/2021,Celta,Getafe,48,24,27,2,1,1,0,1.0,0.0,H
12/5/2021,Huesca,Ath Bilbao,48,24,27,2,1,1,0,1.0,0.0,H
12/5/2021,Ath Madrid,Sociedad,48,24,27,2,1,1,0,2.0,1.0,H
13/05/2021,Valladolid,Villarreal,55,24,19,2,1,1,0,0.0,2.0,A
13/05/2021,Eibar,Betis,35,25,38,1,1,0,1,1.0,1.0,D
13/05/2021,Granada,Real Madrid,45,24,30,2,1,1,1,1.0,4.0,A
16/05/2021,Alaves,Granada,34,28,36,1,1,0,1,4.0,2.0,H
16/05/2021,Ath Bilbao,Real Madrid,26,25,48,1,2,0,1,0.0,1.0,A
16/05/2021,Ath Madrid,Osasuna,48,25,25,2,1,1,0,2.0,1.0,H
16/05/2021,Barcelona,Celta,60,19,19,2,1,1,1,1.0,2.0,A
16/05/2021,Betis,Huesca,54,26,19,2,1,1,0,1.0,0.0,H
16/05/2021,Cadiz,Elche,47,30,21,2,1,1,0,1.0,3.0,A
16/05/2021,Getafe,Levante,38,27,33,1,1,1,1,2.0,1.0,H
16/05/2021,Sociedad,Valladolid,52,26,20,2,1,1,0,4.0,1.0,H
16/05/2021,Valencia,Eibar,51,25,22,2,1,1,0,4.0,1.0,H
16/05/2021,Villarreal,Sevilla,42,24,33,1,1,1,1,4.0,0.0,H
21/05/2021,Levante,Cadiz,45,27,27,1,1,1,0,2.0,2.0,D
22/05/2021,Celta,Betis,40,26,33,1,1,1,1,2.0,3.0,A
22/05/2021,Eibar,Barcelona,21,26,51,1,2,0,1,0.0,1.0,A
22/05/2021,Elche,Ath Bilbao,44,26,29,1,1,1,0,2.0,0.0,H
22/05/2021,Huesca,Valencia,39,28,31,1,1,1,0,0.0,0.0,D
22/05/2021,Osasuna,Sociedad,44,26,28,1,1,1,1,0.0,1.0,A
22/05/2021,Real Madrid,Villarreal,58,21,20,2,1,1,0,2.0,1.0,H
22/05/2021,Valladolid,Ath Madrid,34,27,38,1,1,0,1,1.0,2.0,A
23/05/2021,Granada,Getafe,57,23,19,2,1,1,0,0.0,0.0,D
23/05/2021,Sevilla,Alaves,67,21,10,2,1,1,0,1.0,0.0,H
